item_SYNTHETIC,composition_a_SYNTHETIC,composition_b_SYNTHETIC
synthetic_0,0.5832900065,0.4167099935
synthetic_1,0.6188904948,0.3811095052
synthetic_2,0.4702061266,0.5297938734
synthetic_3,0.3844225261,0.6155774739
synthetic_4,0.6072941446,0.3927058554
synthetic_5,0.4727691667,0.5272308333
synthetic_6,0.4890250668,0.5109749332
synthetic_7,0.5245114897,0.4754885103
synthetic_8,0.5698783867,0.4301216133
synthetic_9,0.5139787617,0.4860212383
synthetic_10,0.4835572827,0.5164427173
synthetic_11,0.5545955259,0.4454044741
synthetic_12,0.4968283953,0.5031716047
synthetic_13,0.5351610612,0.4648389388
synthetic_14,0.3799141809,0.6200858191
synthetic_15,0.5393207485,0.4606792515
synthetic_16,0.6024741044,0.3975258956
synthetic_17,0.5114999979,0.4885000021
synthetic_18,0.5239001364,0.4760998636
synthetic_19,0.5558021383,0.4441978617
synthetic_20,0.4540925286,0.5459074714
synthetic_21,0.4981630520,0.5018369480
synthetic_22,0.4337060006,0.5662939994
synthetic_23,0.6013274702,0.3986725298
synthetic_24,0.5390686541,0.4609313459
synthetic_25,0.4604239434,0.5395760566
synthetic_26,0.5542677632,0.4457322368
synthetic_27,0.6096393365,0.3903606635
synthetic_28,0.4854089741,0.5145910259
synthetic_29,0.3941494379,0.6058505621
synthetic_30,0.6200608010,0.3799391990
synthetic_31,0.4697631587,0.5302368413
synthetic_32,0.4157578865,0.5842421135
synthetic_33,0.5343094547,0.4656905453
synthetic_34,0.6223275724,0.3776724276
synthetic_35,0.5341954529,0.4658045471
synthetic_36,0.4084924588,0.5915075412
synthetic_37,0.4738744441,0.5261255559
synthetic_38,0.6198952085,0.3801047915
synthetic_39,0.4012178802,0.5987821198
synthetic_40,0.4637186138,0.5362813862
synthetic_41,0.6143357863,0.3856642137
synthetic_42,0.5800196423,0.4199803577
synthetic_43,0.4877737551,0.5122262449
synthetic_44,0.5448264956,0.4551735044
synthetic_45,0.5643899273,0.4356100727
synthetic_46,0.4500680147,0.5499319853
synthetic_47,0.4906106244,0.5093893756
synthetic_48,0.4838905674,0.5161094326
synthetic_49,0.5102922681,0.4897077319
synthetic_50,0.4817952429,0.5182047571
synthetic_51,0.4781124535,0.5218875465
synthetic_52,0.5501969850,0.4498030150
synthetic_53,0.4851307479,0.5148692521
synthetic_54,0.4301584725,0.5698415275
synthetic_55,0.5139755117,0.4860244883
synthetic_56,0.5295778731,0.4704221269
synthetic_57,0.4815360371,0.5184639629
synthetic_58,0.4872218359,0.5127781641
synthetic_59,0.5682975433,0.4317024567
synthetic_60,0.6278976321,0.3721023679
synthetic_61,0.5254598147,0.4745401853
synthetic_62,0.3978653754,0.6021346246
synthetic_63,0.5241995361,0.4758004639
synthetic_64,0.5672260604,0.4327739396
synthetic_65,0.4698483062,0.5301516938
synthetic_66,0.3972040965,0.6027959035
synthetic_67,0.5202949699,0.4797050301
synthetic_68,0.5023183541,0.4976816459
synthetic_69,0.3927135511,0.6072864489
synthetic_70,0.4313335150,0.5686664850
synthetic_71,0.6026044218,0.3973955782
synthetic_72,0.4783525343,0.5216474657
synthetic_73,0.4609122723,0.5390877277
synthetic_74,0.4625886783,0.5374113217
synthetic_75,0.5574687522,0.4425312478
synthetic_76,0.5007609889,0.4992390111
synthetic_77,0.4951557597,0.5048442403
synthetic_78,0.5436019026,0.4563980974
synthetic_79,0.4645599282,0.5354400718
synthetic_80,0.4850209927,0.5149790073
synthetic_81,0.4424890662,0.5575109338
synthetic_82,0.6266693231,0.3733306769
synthetic_83,0.4673233516,0.5326766484
synthetic_84,0.3693667368,0.6306332632
synthetic_85,0.4540349023,0.5459650977
synthetic_86,0.4944847238,0.5055152762
synthetic_87,0.4520898094,0.5479101906
synthetic_88,0.5123965239,0.4876034761
synthetic_89,0.4842149273,0.5157850727
synthetic_90,0.6026482800,0.3973517200
synthetic_91,0.4022637722,0.5977362278
synthetic_92,0.4170929720,0.5829070280
synthetic_93,0.5355358208,0.4644641792
synthetic_94,0.4758750298,0.5241249702
synthetic_95,0.3706989689,0.6293010311
synthetic_96,0.4898080697,0.5101919303
synthetic_97,0.6205572833,0.3794427167
synthetic_98,0.4122280731,0.5877719269
synthetic_99,0.4791580823,0.5208419177
synthetic_100,0.5840924508,0.4159075492
synthetic_101,0.5286787768,0.4713212232
synthetic_102,0.4136546365,0.5863453635
synthetic_103,0.4600646875,0.5399353125
synthetic_104,0.6170289610,0.3829710390
synthetic_105,0.5233032356,0.4766967644
synthetic_106,0.3986878129,0.6013121871
synthetic_107,0.5177720534,0.4822279466
synthetic_108,0.6057011984,0.3942988016
synthetic_109,0.4415162507,0.5584837493
synthetic_110,0.3747149757,0.6252850243
synthetic_111,0.4684428491,0.5315571509
synthetic_112,0.5246011341,0.4753988659
synthetic_113,0.5131711690,0.4868288310
synthetic_114,0.4378695556,0.5621304444
synthetic_115,0.5686176750,0.4313823250
synthetic_116,0.4757605681,0.5242394319
synthetic_117,0.4869699545,0.5130300455
synthetic_118,0.5499561256,0.4500438744
synthetic_119,0.6175515910,0.3824484090
synthetic_120,0.5570972415,0.4429027585
synthetic_121,0.4669250863,0.5330749137
synthetic_122,0.4568641049,0.5431358951
synthetic_123,0.6107721507,0.3892278493
synthetic_124,0.3991194030,0.6008805970
synthetic_125,0.4998352548,0.5001647452
synthetic_126,0.6003019595,0.3996980405
synthetic_127,0.5516945927,0.4483054073
synthetic_128,0.4638707264,0.5361292736
synthetic_129,0.5400579773,0.4599420227
synthetic_130,0.5846959104,0.4153040896
synthetic_131,0.4425392175,0.5574607825
synthetic_132,0.4954667989,0.5045332011
synthetic_133,0.4764941979,0.5235058021
synthetic_134,0.5126442302,0.4873557698
synthetic_135,0.4812593347,0.5187406653
synthetic_136,0.4725162522,0.5274837478
synthetic_137,0.5393549990,0.4606450010
synthetic_138,0.4797572387,0.5202427613
synthetic_139,0.4496194391,0.5503805609
synthetic_140,0.4932028192,0.5067971808
synthetic_141,0.5559612232,0.4440387768
synthetic_142,0.4582452947,0.5417547053
synthetic_143,0.4589611183,0.5410388817
synthetic_144,0.5580198972,0.4419801028
synthetic_145,0.6141479712,0.3858520288
synthetic_146,0.4818402668,0.5181597332
synthetic_147,0.3747766858,0.6252233142
synthetic_148,0.5781965832,0.4218034168
synthetic_149,0.5078316438,0.4921683562
synthetic_150,0.5142968538,0.4857031462
synthetic_151,0.4374552758,0.5625447242
synthetic_152,0.4928099157,0.5071900843
synthetic_153,0.4561875087,0.5438124913
synthetic_154,0.3766081278,0.6233918722
synthetic_155,0.5001192572,0.4998807428
synthetic_156,0.6207038554,0.3792961446
synthetic_157,0.4232057748,0.5767942252
synthetic_158,0.4965438702,0.5034561298
synthetic_159,0.5176557945,0.4823442055
synthetic_160,0.4894587338,0.5105412662
synthetic_161,0.4009528837,0.5990471163
synthetic_162,0.3934479074,0.6065520926
synthetic_163,0.4938503680,0.5061496320
synthetic_164,0.5628779758,0.4371220242
synthetic_165,0.4553068364,0.5446931636
synthetic_166,0.4626860537,0.5373139463
synthetic_167,0.5400923582,0.4599076418
synthetic_168,0.5613847738,0.4386152262
synthetic_169,0.4821239747,0.5178760253
synthetic_170,0.5526784598,0.4473215402
synthetic_171,0.6167807490,0.3832192510
synthetic_172,0.5125199337,0.4874800663
synthetic_173,0.3869393958,0.6130606042
synthetic_174,0.5906025248,0.4093974752
synthetic_175,0.4803729950,0.5196270050
synthetic_176,0.4964992079,0.5035007921
synthetic_177,0.5217129309,0.4782870691
synthetic_178,0.5764439343,0.4235560657
synthetic_179,0.5311570784,0.4688429216
synthetic_180,0.4955765073,0.5044234927
synthetic_181,0.5239826772,0.4760173228
synthetic_182,0.5056048138,0.4943951862
synthetic_183,0.5320769722,0.4679230278
synthetic_184,0.4177668845,0.5822331155
synthetic_185,0.4809101743,0.5190898257
synthetic_186,0.5390828441,0.4609171559
synthetic_187,0.4555665638,0.5444334362
synthetic_188,0.4397608999,0.5602391001
synthetic_189,0.4936097573,0.5063902427
synthetic_190,0.5494294931,0.4505705069
synthetic_191,0.4268048114,0.5731951886
synthetic_192,0.5258416265,0.4741583735
synthetic_193,0.4985304450,0.5014695550
synthetic_194,0.4701721638,0.5298278362
synthetic_195,0.4616073105,0.5383926895
synthetic_196,0.5435523282,0.4564476718
synthetic_197,0.5108470527,0.4891529473
synthetic_198,0.4065747382,0.5934252618
synthetic_199,0.5224177785,0.4775822215
synthetic_200,0.4888407439,0.5111592561
synthetic_201,0.5772339704,0.4227660296
synthetic_202,0.4710768341,0.5289231659
synthetic_203,0.4626917299,0.5373082701
synthetic_204,0.5273415711,0.4726584289
synthetic_205,0.4893228930,0.5106771070
synthetic_206,0.4961196534,0.5038803466
synthetic_207,0.5152915455,0.4847084545
synthetic_208,0.5373331570,0.4626668430
synthetic_209,0.4589882799,0.5410117201
synthetic_210,0.5094183525,0.4905816475
synthetic_211,0.5370740489,0.4629259511
synthetic_212,0.4907416889,0.5092583111
synthetic_213,0.4050502279,0.5949497721
synthetic_214,0.4997764735,0.5002235265
synthetic_215,0.6223176431,0.3776823569
synthetic_216,0.4415189258,0.5584810742
synthetic_217,0.4951697983,0.5048302017
synthetic_218,0.4508838057,0.5491161943
synthetic_219,0.5424300862,0.4575699138
synthetic_220,0.5098480716,0.4901519284
synthetic_221,0.4929136255,0.5070863745
synthetic_222,0.5601985579,0.4398014421
synthetic_223,0.4878457851,0.5121542149
synthetic_224,0.4372414876,0.5627585124
synthetic_225,0.5000976412,0.4999023588
synthetic_226,0.5516914793,0.4483085207
synthetic_227,0.4588432706,0.5411567294
synthetic_228,0.4544599110,0.5455400890
synthetic_229,0.5517262312,0.4482737688
synthetic_230,0.6047141874,0.3952858126
synthetic_231,0.4645898051,0.5354101949
synthetic_232,0.3777886473,0.6222113527
synthetic_233,0.5931235019,0.4068764981
synthetic_234,0.4894132328,0.5105867672
synthetic_235,0.5129159957,0.4870840043
synthetic_236,0.4764380877,0.5235619123
synthetic_237,0.5154128937,0.4845871063
synthetic_238,0.4729252315,0.5270747685
synthetic_239,0.4165292107,0.5834707893
synthetic_240,0.5469441870,0.4530558130
synthetic_241,0.5701633982,0.4298366018
synthetic_242,0.4603378398,0.5396621602
synthetic_243,0.4411511035,0.5588488965
synthetic_244,0.5811290923,0.4188709077
synthetic_245,0.5393342758,0.4606657242
synthetic_246,0.4125238523,0.5874761477
synthetic_247,0.4173505378,0.5826494622
