item_SYNTHETIC,composition_a_SYNTHETIC,composition_b_SYNTHETIC
synthetic_0,1.0000000000,0.0000000000
synthetic_1,1.0000000000,0.0000000000
synthetic_2,1.0000000000,0.0000000000
synthetic_3,1.0000000000,0.0000000000
synthetic_4,1.0000000000,0.0000000000
synthetic_5,0.0000000000,1.0000000000
synthetic_6,0.0000000000,1.0000000000
synthetic_7,0.0000000000,1.0000000000
synthetic_8,0.0000000000,1.0000000000
synthetic_9,0.0000000000,1.0000000000
synthetic_10,0.0000000000,0.0000000000
synthetic_11,0.0000000000,0.0000000000
synthetic_12,0.0000000000,0.0000000000
synthetic_13,0.0000000000,0.0000000000
synthetic_14,0.0000000000,0.0000000000
synthetic_15,0.0000000000,0.0000000000
synthetic_16,0.0000000000,0.0000000000
synthetic_17,0.0000000000,0.0000000000
synthetic_18,0.0000000000,0.0000000000
synthetic_19,0.0000000000,0.0000000000
synthetic_20,0.0000000000,0.0000000000
synthetic_21,0.0000000000,0.0000000000
synthetic_22,0.0000000000,0.0000000000
synthetic_23,0.0000000000,0.0000000000
synthetic_24,0.0000000000,0.0000000000
synthetic_25,0.0000000000,0.0000000000
synthetic_26,0.0000000000,0.0000000000
synthetic_27,0.0000000000,0.0000000000
synthetic_28,0.0000000000,0.0000000000
synthetic_29,0.0000000000,0.0000000000
synthetic_30,0.0000000000,0.0000000000
synthetic_31,0.0000000000,0.0000000000
synthetic_32,0.0000000000,0.0000000000
synthetic_33,0.0000000000,0.0000000000
synthetic_34,0.0000000000,0.0000000000
synthetic_35,0.0000000000,0.0000000000
synthetic_36,0.0000000000,0.0000000000
synthetic_37,0.0000000000,0.0000000000
synthetic_38,0.0000000000,0.0000000000
synthetic_39,0.0000000000,0.0000000000
synthetic_40,0.0000000000,0.0000000000
synthetic_41,0.0000000000,0.0000000000
synthetic_42,0.0000000000,0.0000000000
synthetic_43,0.0000000000,0.0000000000
synthetic_44,0.0000000000,0.0000000000
synthetic_45,0.0000000000,0.0000000000
synthetic_46,0.0000000000,0.0000000000
synthetic_47,0.0000000000,0.0000000000
synthetic_48,0.0000000000,0.0000000000
synthetic_49,0.0000000000,0.0000000000
synthetic_50,0.0000000000,0.0000000000
synthetic_51,0.0000000000,0.0000000000
synthetic_52,0.0000000000,0.0000000000
synthetic_53,0.0000000000,0.0000000000
synthetic_54,0.0000000000,0.0000000000
synthetic_55,0.0000000000,0.0000000000
synthetic_56,0.0000000000,0.0000000000
synthetic_57,0.0000000000,0.0000000000
synthetic_58,0.0000000000,0.0000000000
synthetic_59,0.0000000000,0.0000000000
synthetic_60,0.0000000000,0.0000000000
synthetic_61,0.0000000000,0.0000000000
synthetic_62,0.0000000000,0.0000000000
synthetic_63,0.0000000000,0.0000000000
synthetic_64,0.0000000000,0.0000000000
synthetic_65,0.0000000000,0.0000000000
synthetic_66,0.0000000000,0.0000000000
synthetic_67,0.0000000000,0.0000000000
synthetic_68,0.0000000000,0.0000000000
synthetic_69,0.0000000000,0.0000000000
synthetic_70,0.0000000000,0.0000000000
synthetic_71,0.0000000000,0.0000000000
synthetic_72,0.0000000000,0.0000000000
synthetic_73,0.0000000000,0.0000000000
synthetic_74,0.0000000000,0.0000000000
synthetic_75,0.0000000000,0.0000000000
synthetic_76,0.0000000000,0.0000000000
synthetic_77,0.0000000000,0.0000000000
synthetic_78,0.0000000000,0.0000000000
synthetic_79,0.0000000000,0.0000000000
synthetic_80,0.0000000000,0.0000000000
synthetic_81,0.0000000000,0.0000000000
