label,family,unit,sigma_d_basis,sigma_d_target,sigma_d_realised_by_power_py,discordance_q_realised,N_units,nights_equivalent,MDE_alpha0.05_power0.80,chance_k_over_candidates,N_min_at_delta_0.018,MDE_below_delta_0.018,N_min_at_delta_0.037,MDE_below_delta_0.037,N_min_at_delta_0.3,MDE_below_delta_0.3,N_min_at_delta_0.37,MDE_below_delta_0.37
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.930;rho=0.9,0.0403,0.040342,,50,50,0.015984,0.172377,40,yes,10,yes,1,yes,1,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.930;rho=0.9,0.0403,0.040342,,150,150,0.009228,0.172377,40,yes,10,yes,1,yes,1,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.930;rho=0.9,0.0403,0.040342,,500,500,0.005055,0.172377,40,yes,10,yes,1,yes,1,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.930;rho=0.9,0.0403,0.040342,,2000,2000,0.002527,0.172377,40,yes,10,yes,1,yes,1,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.930;rho=0.0,0.1276,0.127574,,50,50,0.050545,0.172377,395,no,94,no,2,yes,1,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.930;rho=0.0,0.1276,0.127574,,150,150,0.029182,0.172377,395,no,94,yes,2,yes,1,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.930;rho=0.0,0.1276,0.127574,,500,500,0.015984,0.172377,395,yes,94,yes,2,yes,1,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.930;rho=0.0,0.1276,0.127574,,2000,2000,0.007992,0.172377,395,yes,94,yes,2,yes,1,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.5;rho=0.5,0.1768,0.176777,,50,50,0.07004,0.172377,758,no,180,no,3,yes,2,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.5;rho=0.5,0.1768,0.176777,,150,150,0.040438,0.172377,758,no,180,no,3,yes,2,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.5;rho=0.5,0.1768,0.176777,,500,500,0.022149,0.172377,758,no,180,yes,3,yes,2,yes
PLANNING-ONLY / not a P7 record,A,round (night); precision@8,p=0.5;rho=0.5,0.1768,0.176777,,2000,2000,0.011074,0.172377,758,yes,180,yes,3,yes,2,yes
