ZTFID,class,category,evidence,strength
ZTF19acjiett,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF19aalrfnw,CV?,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV?' not emittable by SNIascore,
ZTF18abxmbfq,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF20abjnqcj,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF17aaahrni,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18aazvajy,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18abmiqsz,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF19aaxnrkb,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18acswlfw,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF19aaustkj,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18ablvxdg,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF19acenylz,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF19acrcznb,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF20actlumf,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF19acszwgx,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18acajosk,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18aagqhrw,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18achrter,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF19abyfxzl,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF20aafxzej,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF19acjtrst,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18acaktuk,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF21acipofv,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted,
ZTF20aakyqlh,SN Ia,MODEL_ANNOTATION,"E1 wis-tns.org/object/2017bde capture 20240415064128: report 14676 2023-04-16 11:24:51 by 'C. Fremling, D. Neill, Y. Sharma on behalf of the SEDM Team (Caltech) and the Zwicky Transient Facility (ZTF) based on SNIascore' (sender ZTF_Bot1, group ZTF) = 'SN Ia'; automated marker SNIascore",STRONG
ZTF20abgfegv,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF19abasljb,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF19aaklfkk,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF20aauonhf,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18acswkeb,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18abtvlxd,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF20aavtfxl,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
