c5_color,c5_color_error,c5_s1,c5_s1_error,c5_s2,c5_s2_error,c5_s3,c5_s3_error,c5_luminosity,c5_luminosity_error,c5_reference_time_error,c5_predicted_redshift,c5_predicted_redshift_error,c5_amplitude,unit,epoch
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.558624686548562,0.08949892,19.921179,0.28072992,0.25717777,190.56897,1125,E1
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-21.42220706853241,0.124301806,19.921154,0.28073055,0.25717756,168.06712,1128,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-21.105969489670912,0.1591628,19.9212,0.28073105,0.25717875,125.59895,1142,E1
-0.0093585905,0.15779637,0.0072226394,0.9967152,0.00063893944,0.9919149,-0.012773579,0.99459285,-23.167445917442834,0.057837956,19.92113,0.28073007,0.25717658,838.64905,1147,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-21.57096773491017,0.17323023,19.9212,0.28073105,0.25717875,192.7462,1151,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-20.51848262722239,0.19030383,19.921179,0.28072992,0.25717777,73.113174,1153,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.45568508083567,0.111768916,19.921179,0.28072992,0.25717777,173.33092,1154,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-20.390030930553827,0.27797413,19.921162,0.28073084,0.2571783,64.95477,1158,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-21.877186835862318,0.1415996,19.9212,0.28073105,0.25717875,255.54814,1162,E1
-0.009357827,0.15779603,0.0072243344,0.9967159,0.0006326288,0.9919151,-0.012777483,0.9945988,-22.48345800890801,0.087324254,19.921139,0.28072906,0.2571768,446.6719,1182,E1
