item_SYNTHETIC,composition_a_SYNTHETIC,composition_b_SYNTHETIC
synthetic_0,0.5243978691,0.4756021309
synthetic_1,0.5352881373,0.4647118627
synthetic_2,0.4898052600,0.5101947400
synthetic_3,0.4635638668,0.5364361332
synthetic_4,0.5317407881,0.4682592119
synthetic_5,0.4905892997,0.5094107003
synthetic_6,0.4955620155,0.5044379845
synthetic_7,0.5064173908,0.4935826092
synthetic_8,0.5202952250,0.4797047750
synthetic_9,0.5031954060,0.4968045940
synthetic_10,0.4938894082,0.5061105918
synthetic_11,0.5156201640,0.4843798360
synthetic_12,0.4979490709,0.5020509291
synthetic_13,0.5096751183,0.4903248817
synthetic_14,0.4621847541,0.5378152459
synthetic_15,0.5109475758,0.4890524242
synthetic_16,0.5302663271,0.4697336729
synthetic_17,0.5024371466,0.4975628534
synthetic_18,0.5062303764,0.4937696236
synthetic_19,0.5159892694,0.4840107306
synthetic_20,0.4848760747,0.5151239253
synthetic_21,0.4983573454,0.5016426546
synthetic_22,0.4786397907,0.5213602093
synthetic_23,0.5299155692,0.4700844308
synthetic_24,0.5108704596,0.4891295404
synthetic_25,0.4868128685,0.5131871315
synthetic_26,0.5155199007,0.4844800993
synthetic_27,0.5324581875,0.4675418125
synthetic_28,0.4944558447,0.5055441553
synthetic_29,0.4665393507,0.5334606493
synthetic_30,0.5356461365,0.4643538635
synthetic_31,0.4896697552,0.5103302448
synthetic_32,0.4731494229,0.5268505771
synthetic_33,0.5094146099,0.4905853901
synthetic_34,0.5363395469,0.4636604531
synthetic_35,0.5093797365,0.4906202635
synthetic_36,0.4709269125,0.5290730875
synthetic_37,0.4909274065,0.5090725935
synthetic_38,0.5355954814,0.4644045186
synthetic_39,0.4687016028,0.5312983972
synthetic_40,0.4878207155,0.5121792845
synthetic_41,0.5338948419,0.4661051581
synthetic_42,0.5233974575,0.4766025425
synthetic_43,0.4951792365,0.5048207635
synthetic_44,0.5126317960,0.4873682040
synthetic_45,0.5186162931,0.4813837069
synthetic_46,0.4836449671,0.5163550329
synthetic_47,0.4960470411,0.5039529589
synthetic_48,0.4939913608,0.5060086392
synthetic_49,0.5020676994,0.4979323006
synthetic_50,0.4933503964,0.5066496036
synthetic_51,0.4922238229,0.5077761771
synthetic_52,0.5142746406,0.4857253594
synthetic_53,0.4943707347,0.5056292653
synthetic_54,0.4775545940,0.5224454060
synthetic_55,0.5031944118,0.4968055882
synthetic_56,0.5079672087,0.4920327913
synthetic_57,0.4932711047,0.5067288953
synthetic_58,0.4950104032,0.5049895968
synthetic_59,0.5198116415,0.4801883585
synthetic_60,0.5380434405,0.4619565595
synthetic_61,0.5067074855,0.4932925145
synthetic_62,0.4676760642,0.5323239358
synthetic_63,0.5063219635,0.4936780365
synthetic_64,0.5194838725,0.4805161275
synthetic_65,0.4896958020,0.5103041980
synthetic_66,0.4674737775,0.5325262225
synthetic_67,0.5051275480,0.4948724520
synthetic_68,0.4996284615,0.5003715385
synthetic_69,0.4661001097,0.5338998903
