Year,Total,Novae,Named,Possible,Unreported,NGC,Named Galaxies,Amateur Discovered,13th,16th,18th,I, Ia,Ia-02cx,Ia-91bg,Ia-91T,Ia-pec, Ib,Ibn,Ib-pec,Ic,Icn,Ic-pec,SLSN-I,II,IIn,IIP,IIb,IIL,SLSN-II,II-pec,LBV,nonSN,untyped,Novae,Reported,Unreported,CBAT,M31,M81,M33,untyped
2026,17562,38,1417,16143,2,112,17287,159,2,50,387,1077,965,4,7,31,14,35,4,2,47,3,15,19,335,54,12,27,0,10,3,2,275,15861,38,8,30,1,22,5,0,28
2025,26949,66,2111,24809,29,0,15174,255,1,69,671,1596,1434,15,16,48,16,45,6,2,80,0,27,44,500,49,20,39,0,9,0,5,605,24220,66,9,57,0,0,0,0,42
2024,23878,56,2184,21691,3,0,11035,188,6,97,934,1682,1535,5,25,49,28,44,7,5,71,1,21,30,481,53,25,40,0,8,3,4,1789,19896,56,12,44,0,0,0,0,37
2023,21085,60,1971,19110,4,0,9369,149,2,98,957,1484,1345,9,14,52,17,58,12,1,57,1,16,18,472,61,32,25,1,7,1,7,1664,17442,60,9,51,0,0,0,0,39
2022,21612,58,2230,19382,0,0,11187,120,4,99,982,1793,1642,5,29,63,19,68,8,1,54,1,18,15,432,58,24,26,0,10,2,8,1987,17365,58,10,48,0,0,0,0,41
2021,23731,49,2419,21309,3,0,12844,87,8,106,972,1922,1729,6,24,74,19,84,11,4,66,2,24,25,513,70,35,37,0,11,7,5,2474,18803,49,8,41,0,0,0,0,29
2020,21849,67,2100,19744,5,0,13154,131,5,135,1160,1663,1503,8,15,43,20,56,6,2,71,0,18,23,472,61,36,21,0,19,3,7,2384,17305,67,8,59,0,0,0,0,41
2019,18912,63,2112,16747,53,0,12365,134,0,94,1315,1664,1493,5,13,64,13,64,11,4,73,2,24,30,510,80,39,33,3,25,4,9,2610,14102,63,16,47,2,0,0,0,41
2018,12780,64,1530,7801,3449,0,8400,162,5,90,1126,1235,1106,3,15,55,22,41,3,5,62,1,18,19,344,43,42,23,1,11,1,7,1347,9814,64,16,48,2,0,0,0,37
2017,8305,93,820,6818,667,143,5814,279,3,114,1096,747,679,1,12,33,4,25,4,1,34,0,8,7,218,31,31,19,0,3,4,4,465,6853,93,49,44,19,46,21,1,64
2016,7748,100,757,6269,722,122,5696,288,0,76,783,681,619,2,9,24,8,25,3,1,24,0,8,10,226,25,44,19,3,2,1,3,396,6432,100,37,63,7,41,17,5,75
2015,4486,67,87,216,4183,103,4161,246,2,99,485,707,656,1,11,35,11,21,3,0,21,0,2,10,215,25,34,18,1,1,5,4,46,3507,67,44,23,3,32,11,3,48
2014,2247,56,148,176,1923,87,2026,211,3,92,405,528,475,3,8,18,8,21,4,0,26,0,2,3,175,26,37,12,1,0,1,3,58,1470,56,47,9,0,16,23,8,35
2013,2142,58,233,221,1688,99,1929,221,6,89,345,498,452,0,1,18,11,19,1,2,24,0,1,0,190,31,43,13,0,0,4,8,40,1403,58,57,1,1,36,16,2,30
2012,1224,47,248,99,877,98,1077,182,5,83,337,550,489,0,1,4,17,23,3,0,35,0,5,0,152,23,35,10,0,0,1,8,12,480,47,46,1,2,29,12,4,22
2011,1155,40,301,95,759,104,1010,195,7,72,295,439,395,0,1,0,5,22,0,0,20,0,1,1,160,24,42,12,1,0,3,10,18,530,40,37,3,1,31,5,0,12
2010,933,48,341,4,588,92,798,156,2,49,233,279,230,0,0,0,7,16,1,1,33,0,3,2,135,21,31,17,2,1,0,7,1,510,48,45,3,42,30,8,3,2
2009,578,48,391,26,161,94,498,149,0,55,208,202,167,0,2,0,2,11,0,0,23,0,1,0,138,11,40,21,2,0,2,1,1,234,48,38,10,31,23,11,1,16
2008,582,50,261,13,308,83,538,211,3,46,202,291,255,0,0,0,3,18,0,0,18,0,0,0,157,23,12,6,0,0,2,1,0,129,50,42,8,42,33,11,1,2
2007,664,38,571,1,92,57,639,172,3,49,145,482,438,0,0,0,2,27,0,1,17,0,2,0,147,17,10,2,0,0,2,1,0,32,38,37,1,37,33,4,1,0
2006,559,37,551,1,7,72,526,135,3,44,166,418,384,0,0,0,2,22,1,1,9,0,0,0,124,21,7,8,1,0,0,2,1,13,37,36,1,36,19,15,1,36
2005,423,21,365,9,49,83,394,169,2,53,148,298,260,0,0,0,5,17,0,0,21,0,1,0,104,19,1,3,0,0,0,1,0,17,21,21,0,21,16,4,0,0
2004,353,31,249,26,78,68,335,148,2,38,128,221,192,0,0,0,0,11,0,0,17,0,1,0,79,4,9,4,0,0,2,0,0,53,31,30,1,30,24,4,0,1
2003,384,27,337,10,37,73,349,132,1,34,146,198,170,0,0,0,1,11,0,1,17,0,1,0,89,10,0,3,1,0,1,1,6,90,27,27,0,27,18,7,1,0
2002,353,15,334,16,3,67,321,106,1,34,130,163,131,0,0,0,5,10,1,1,17,0,1,0,64,8,3,1,0,0,1,0,0,125,15,13,2,13,6,5,0,0
2001,310,15,304,6,0,62,298,93,2,33,117,108,89,0,0,0,3,8,0,0,10,0,0,0,75,8,4,3,0,0,3,0,0,125,15,15,0,15,5,8,1,0
2000,199,9,183,14,2,39,185,74,0,27,81,76,65,0,1,0,1,6,1,0,5,0,0,0,49,7,0,1,2,0,1,0,0,72,9,8,1,8,6,1,0,0
1999,203,11,198,5,0,50,191,65,0,21,67,115,101,0,0,0,5,6,0,0,8,0,0,0,59,5,1,1,0,0,3,0,0,29,11,11,0,11,5,0,0,0
1998,163,0,161,1,1,37,145,21,3,20,55,77,70,0,0,0,2,4,0,0,3,0,1,0,31,3,2,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0
1997,166,0,163,3,0,29,154,26,0,13,41,80,71,0,0,0,1,3,0,0,5,0,0,0,30,4,2,0,0,0,0,1,0,55,0,0,0,0,0,0,0,0
1996,102,0,96,6,0,24,89,30,0,9,30,53,49,0,0,0,0,2,0,0,2,0,0,0,24,4,1,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0
other,1134,0,1044,86,4,438,900,384,54,323,712,282,211,0,0,1,8,17,0,0,12,0,1,0,166,10,10,1,2,0,0,4,0,682,0,0,0,0,0,0,0,0
Totals,=SUM(B2:B32),=SUM(C2:C32),=SUM(D2:D32),=SUM(E2:E32),=SUM(F2:F32),=SUM(G2:G32),=SUM(H2:H32),=SUM(I2:I32),=SUM(J2:J32),=SUM(K2:K32),=SUM(L2:L32),=SUM(M2:M32),=SUM(N2:N32),=SUM(O2:O32),=SUM(P2:P32),=SUM(Q2:Q32),=SUM(R2:R32),=SUM(S2:S32),=SUM(T2:T32),=SUM(U2:U32),=SUM(V2:V32),=SUM(W2:W32),=SUM(X2:X32),=SUM(Y2:Y32),=SUM(Z2:Z32),=SUM(AA2:AA32),=SUM(AB2:AB32),=SUM(AC2:AC32),=SUM(AD2:AD32),=SUM(AE2:AE32),=SUM(AF2:AF32),=SUM(AG2:AG32),=SUM(AH2:AH32),=SUM(AI2:AI32),=SUM(AJ2:AJ32),=SUM(AK2:AK32),=SUM(AL2:AL32),=SUM(AM2:AM32),=SUM(AN2:AN32),=SUM(AO2:AO32),=SUM(AP2:AP32),=SUM(AQ2:AQ32), 
