delta,N,N_source,L_case,L,N_need,purity_p,p_source,success_s,s_source,capacity_c,c_source,A_reachable_arrivals_per_night_cp95_lo,binding,spectra_S,P60_hours_H,wrong_routine_commitments_W,cost_slots,rubin_on_sky_nights,missed_rare_penalty
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,644,322.0,122,644,144,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,644,322.0,122,644,144,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,644,322.0,122,644,81,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,644,322.0,122,644,81,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,644,322.0,122,644,65,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,644,322.0,122,644,65,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,599,299.5,114,599,134,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,599,299.5,114,599,134,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,599,299.5,114,599,75,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,599,299.5,114,599,75,+100 slots per missed rare event (M UNDEMONSTRATED)
