delta,delta_status,N,L_case,N_need,purity_p,success_s,capacity_c,spectra_S,P60_hours,wrong_routine_commitments,cost_slots,missed_rare_penalty,p60_usable_nights_needed,spectra_per_month_first,p60_nights_per_month_first,rubin_on_sky_nights_per_month_first,return_month_R,months_after_R,completion_month,months_aggregate_Ubar,binding_first_month
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,93.4,20.8,20.7,2026-10,1,2026-10,0.99,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,83.3,18.5,20.0,2026-11,2,2026-12,0.99,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,55.1,12.2,20.7,2026-12,2,2027-01,0.99,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,47.3,10.5,20.7,2027-01,2,2027-02,0.99,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,59.2,13.2,18.7,2027-02,2,2027-03,0.99,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,41.6,9.2,20.7,2027-03,2,2027-04,0.99,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,94.5,21.0,20.0,2027-04,1,2027-04,0.99,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,103.5,23.0,20.7,2027-05,1,2027-05,0.99,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,113.6,25.2,20.0,2027-06,1,2027-06,0.99,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,115.9,25.7,20.7,2027-07,1,2027-07,0.99,capacity
