candid,mjd,band,flux,fluxerr,magpsf,sigmapsf,isdiffpos
1988341344515015006,59742.341343,ztfg,189.978301,37.070551,19.303240,0.211860,1
1989226223215015010,59743.226227,ztfr,185.870985,26.430877,19.326971,0.154392,1
1989277653215015011,59743.277651,ztfg,214.567529,32.323882,19.171090,0.163563,1
1993213103215015015,59747.213102,ztfr,211.945988,28.022814,19.184437,0.143553,1
1993234684515015008,59747.234688,ztfr,204.276308,22.929167,19.224455,0.121869,1
1993276604515015005,59747.276609,ztfg,236.960741,22.564643,19.063309,0.103389,1
1993310243215015009,59747.310243,ztfg,232.378530,27.794545,19.084510,0.129864,1
1995220153215015007,59749.220151,ztfr,238.027535,20.307109,19.058432,0.092629,1
1995264823215015007,59749.264826,ztfg,231.149629,22.144409,19.090267,0.104015,1
1995279034515015008,59749.279039,ztfg,240.074482,22.603517,19.049135,0.102224,1
1995331564515015009,59749.331562,ztfr,244.049993,30.975930,19.031303,0.137807,1
1997216033215015023,59751.216030,ztfg,224.907532,21.716627,19.119990,0.104837,1
1997267613215015018,59751.267616,ztfr,237.464121,18.314265,19.061005,0.083737,1
1997276714515015006,59751.276713,ztfr,245.049601,21.332860,19.026865,0.094519,1
1997329694515015013,59751.329699,ztfg,262.496792,26.733696,18.952190,0.110576,1
1999226673215015010,59753.226678,ztfr,236.994572,20.890645,19.063154,0.095706,1
1999227624515015004,59753.227627,ztfr,143.795468,16.472160,19.605637,0.124374,1
1999267153215015009,59753.267153,ztfg,240.121584,22.801847,19.048922,0.103101,1
1999281054515015007,59753.281053,ztfg,251.796680,20.969970,18.997375,0.090422,1
2002214094515015005,59756.214097,ztfr,254.198393,20.894286,18.987068,0.089244,1
2002215983215015009,59756.215984,ztfr,255.158006,21.707340,18.982977,0.092368,1
2002268254515015005,59756.268252,ztfg,246.388254,24.194865,19.020950,0.106617,1
2004257814515015009,59758.257812,ztfr,252.500824,27.936645,18.994343,0.120126,1
2004286513215015020,59758.286516,ztfr,248.648819,25.626323,19.011034,0.111898,1
2006219583215015009,59760.219583,ztfg,237.243979,20.516365,19.062012,0.093892,1
2006236844515015007,59760.236840,ztfg,246.927580,20.437458,19.018576,0.089863,1
2006258284515015010,59760.258287,ztfr,257.889464,20.581235,18.971416,0.086649,1
2006258763215015014,59760.258762,ztfr,251.617475,23.667758,18.998148,0.102127,1
2008223423215015019,59762.223426,ztfg,226.448371,23.386420,19.112577,0.112129,1
2008223904515015006,59762.223901,ztfg,254.027305,23.379107,18.987799,0.099924,1
2008242074515015012,59762.242072,ztfr,256.440609,25.058461,18.977533,0.106094,1
2008261453215015015,59762.261458,ztfr,267.442239,19.192267,18.931925,0.077915,1
2010226933215015012,59764.226933,ztfg,237.552716,22.864218,19.060600,0.104501,1
2010237154515015008,59764.237153,ztfg,249.933689,19.589642,19.005438,0.085099,1
2010266863215015014,59764.266863,ztfr,251.595923,21.150847,18.998241,0.091274,1
2010285614515015011,59764.285613,ztfr,281.599578,25.437568,18.875920,0.098077,1
2012212363215015010,59766.212361,ztfr,251.841212,23.664454,18.997183,0.102022,1
2012277683215015005,59766.277685,ztfg,240.164272,31.472834,19.048729,0.142283,1
2012287714515015006,59766.287720,ztfg,242.103128,27.691637,19.039999,0.124186,1
2015205023215015005,59769.205023,ztfg,231.690592,26.464559,19.087729,0.124017,1
2015235013215015003,59769.235012,ztfg,237.784751,26.769395,19.059540,0.122230,1
2015235484515015006,59769.235486,ztfg,232.952835,31.897038,19.081830,0.148664,1
2015327044515015012,59769.327049,ztfg,274.863834,39.310545,18.902206,0.155280,1
2017232143215015007,59771.232141,ztfg,260.259146,28.866515,18.961485,0.120424,1
2017253404515015005,59771.253403,ztfg,221.283178,27.546800,19.137629,0.135160,1
2017321033215015009,59771.321030,ztfg,234.094926,41.342574,19.076520,0.191748,1
2017339954515015003,59771.339954,ztfg,240.728772,33.678394,19.046180,0.151896,1
2019196443215015005,59773.196447,ztfr,276.815497,28.668777,18.894524,0.112446,1
2019238243215015005,59773.238241,ztfr,271.681458,32.360998,18.914850,0.129326,1
