mjd,band,kind,magpsf,sigmapsf,isdiffpos,flux,fluxerr,diffmaglim
59702.299688,ztfg,nondetection,,,,,,20.901600
59702.301574,ztfg,nondetection,,,,,,20.795400
59702.341956,ztfr,nondetection,,,,,,20.767300
59702.344317,ztfr,nondetection,,,,,,20.728200
59707.299028,ztfr,nondetection,,,,,,20.273900
59707.311053,ztfr,nondetection,,,,,,20.220500
59707.342500,ztfr,nondetection,,,,,,20.169800
59707.344398,ztfr,nondetection,,,,,,20.525500
59709.344120,ztfr,nondetection,,,,,,19.809400
59709.345532,ztfr,nondetection,,,,,,20.089000
59709.383356,ztfr,nondetection,,,,,,20.364100
59709.403924,ztfr,nondetection,,,,,,20.298800
59711.214688,ztfg,nondetection,,,,,,19.482800
59711.240185,ztfg,nondetection,,,,,,19.753500
59711.295741,ztfr,nondetection,,,,,,19.436200
59711.311771,ztfr,nondetection,,,,,,19.413500
59713.272037,ztfr,nondetection,,,,,,19.372300
59713.304294,ztfr,nondetection,,,,,,19.527100
59713.316238,ztfg,nondetection,,,,,,19.408000
59713.425637,ztfg,nondetection,,,,,,19.280600
59715.284687,ztfg,nondetection,,,,,,19.290700
59715.288009,ztfg,nondetection,,,,,,19.200800
59719.276146,ztfr,nondetection,,,,,,20.505300
59719.290625,ztfr,nondetection,,,,,,20.503000
59719.296296,ztfr,nondetection,,,,,,20.600100
59719.333287,ztfr,nondetection,,,,,,20.047300
59722.317512,ztfg,nondetection,,,,,,20.682600
59722.317986,ztfg,nondetection,,,,,,20.765400
59722.341389,ztfg,nondetection,,,,,,20.667400
59722.341852,ztfg,nondetection,,,,,,20.464300
59724.299977,ztfr,nondetection,,,,,,20.683800
59724.319803,ztfg,nondetection,,,,,,20.686500
59724.343322,ztfg,nondetection,,,,,,20.786800
59724.403021,ztfr,nondetection,,,,,,20.466200
59726.318183,ztfg,nondetection,,,,,,20.899400
59726.318646,ztfg,nondetection,,,,,,20.960500
59726.352836,ztfr,nondetection,,,,,,20.602000
59726.374039,ztfr,nondetection,,,,,,20.535100
59729.381181,ztfg,nondetection,,,,,,20.259500
59729.412130,ztfg,nondetection,,,,,,20.313000
59731.321018,ztfg,nondetection,,,,,,20.549000
59732.226771,ztfr,nondetection,,,,,,20.603900
59732.276944,ztfg,detection,20.454023,0.199663,1.000000,65.824990,12.104954,
59733.232523,ztfr,nondetection,,,,,,20.521300
59733.303056,ztfg,nondetection,,,,,,20.759300
59734.233854,ztfr,detection,20.116768,0.191165,1.000000,89.803404,15.811655,
59734.299398,ztfg,detection,20.060743,0.190831,1.000000,94.558985,16.619885,
59735.232106,ztfr,detection,20.228200,0.251708,1.000000,81.043838,18.788525,
59735.274861,ztfg,detection,19.896120,0.151181,1.000000,110.040359,15.322329,
59736.213299,ztfr,detection,19.952694,0.191189,1.000000,104.453356,18.393352,
59736.306771,ztfg,detection,19.574286,0.122320,1.000000,148.008140,16.674662,
59737.192153,ztfg,detection,19.623941,0.188986,1.000000,141.391597,24.610986,
59737.227662,ztfr,detection,20.013369,0.193165,1.000000,98.776219,17.573474,
59738.224734,ztfg,detection,19.298922,0.155433,1.000000,190.735354,27.305422,
59738.252488,ztfr,detection,19.711779,0.167379,1.000000,130.403245,20.103247,
59739.254352,ztfr,detection,19.603712,0.186161,1.000000,144.050643,24.699060,
59739.343183,ztfg,detection,19.405832,0.163219,1.000000,172.849131,25.984480,
59740.321817,ztfr,detection,19.326506,0.126434,1.000000,185.950607,21.653920,
59740.364803,ztfg,detection,19.139488,0.150766,1.000000,220.904621,30.674857,
59741.212106,ztfg,detection,19.224470,0.193226,1.000000,204.273486,36.354088,
