candid,mjd,band,flux,fluxerr,magpsf,sigmapsf,isdiffpos
sim4015521876_10,59796.941853,ztfr,653.842039,17.939005,17.961318,0.029789,1
sim4015521876_11,59797.114314,ztfg,649.588488,18.663283,17.968404,0.031194,1
sim4015521876_12,59799.733149,ztfg,683.978533,18.900918,17.912394,0.030003,1
sim4015521876_13,59800.123832,ztfr,674.804639,18.542714,17.927055,0.029835,1
sim4015521876_14,59802.861476,ztfg,689.565840,18.432784,17.903561,0.029023,1
sim4015521876_15,59802.955360,ztfr,681.328199,18.526913,17.916609,0.029524,1
sim4015521876_16,59808.949357,ztfr,529.680109,16.642498,18.189966,0.034114,1
sim4015521876_17,59809.275968,ztfg,509.137128,15.990768,18.232913,0.034100,1
sim4015521876_18,59811.998406,ztfg,411.018460,14.957592,18.465347,0.039512,1
sim4015521876_19,59812.157482,ztfr,448.145764,15.417287,18.371452,0.037352,1
sim4015521876_20,59815.191007,ztfr,375.841099,14.764008,18.562489,0.042651,1
sim4015521876_21,59815.297521,ztfg,305.711909,13.975569,18.786719,0.049634,1
sim4015521876_22,59817.856709,ztfr,337.821563,14.507640,18.678282,0.046627,1
sim4015521876_23,59817.904174,ztfg,236.428564,13.490155,19.065750,0.061950,1
sim4015521876_24,59820.703165,ztfg,187.061828,13.165219,19.320037,0.076413,1
sim4015521876_25,59823.730462,ztfg,143.309627,12.952936,19.609312,0.098133,1
sim4015521876_26,59827.094560,ztfr,321.597038,14.034718,18.731720,0.047382,1
sim4015521876_27,59827.112481,ztfg,151.571308,12.827239,19.548458,0.091884,1
sim4015521876_28,59829.976162,ztfg,87.242657,12.758931,20.148178,0.158785,1
sim4015521876_29,59832.919839,ztfg,81.511661,12.718199,20.221951,0.169407,1
sim4015521876_30,59833.062338,ztfr,246.036104,13.539390,19.022503,0.059748,1
sim4015521876_31,59835.876143,ztfg,70.043519,12.692387,20.386580,0.196743,1
sim4015521876_32,59835.936280,ztfr,210.815700,13.294947,19.190243,0.068471,1
