mjd,band,kind,magpsf,sigmapsf,isdiffpos,flux,fluxerr,diffmaglim
59773.228256,ztfg,nondetection,,,,,,20.500000
59775.971660,ztfr,nondetection,,,,,,20.500000
59776.244882,ztfg,nondetection,,,,,,20.500000
59779.058838,ztfg,nondetection,,,,,,20.500000
59785.031918,ztfr,detection,19.769767,0.112595,1.000000,123.621278,12.820007,
59785.108883,ztfg,detection,19.802356,0.116062,1.000000,119.965807,12.823969,
59788.199013,ztfg,detection,18.991082,0.058152,1.000000,253.260383,13.564589,
59790.955471,ztfr,detection,18.552619,0.042382,1.000000,379.273272,14.805191,
59793.739047,ztfr,detection,18.162693,0.033170,1.000000,543.153729,16.593575,
59793.876377,ztfg,detection,18.214029,0.036008,1.000000,518.070095,17.181621,
