candid,mjd,band,flux,fluxerr,magpsf,sigmapsf,isdiffpos
sim4015521879_8,59784.737556,ztfr,581.420160,17.394326,18.088775,0.032482,1
sim4015521879_9,59785.276828,ztfg,731.369775,18.910263,17.839657,0.028073,1
sim4015521879_10,59787.756758,ztfg,712.140374,18.924354,17.868586,0.028852,1
sim4015521879_11,59787.918880,ztfr,601.247222,17.412339,18.052367,0.031443,1
sim4015521879_12,59791.270506,ztfg,708.349898,18.944624,17.874380,0.029038,1
sim4015521879_13,59793.736942,ztfg,659.470400,18.959065,17.952012,0.031214,1
sim4015521879_14,59793.810148,ztfr,608.951313,17.446844,18.038544,0.031107,1
sim4015521879_15,59796.750621,ztfr,595.495209,17.464624,18.062804,0.031842,1
sim4015521879_16,59796.928635,ztfg,730.144387,18.978011,17.841478,0.028221,1
sim4015521879_17,59800.148969,ztfr,575.290761,17.485638,18.100282,0.033000,1
sim4015521879_18,59803.199854,ztfg,722.279487,19.016087,17.853237,0.028585,1
sim4015521879_19,59803.247896,ztfr,590.358946,17.505233,18.072210,0.032194,1
sim4015521879_20,59805.769098,ztfg,685.760518,19.032007,17.909569,0.030133,1
sim4015521879_21,59805.889229,ztfr,605.199496,17.522261,18.045254,0.031435,1
sim4015521879_22,59808.856011,ztfr,627.145047,17.541748,18.006580,0.030369,1
sim4015521879_23,59809.072791,ztfg,708.283798,19.052751,17.874482,0.029206,1
sim4015521879_24,59812.013961,ztfr,597.092476,17.562908,18.059896,0.031936,1
sim4015521879_25,59818.003944,ztfr,598.121631,17.604227,18.058026,0.031956,1
sim4015521879_26,59821.110415,ztfg,710.158917,19.130891,17.871611,0.029249,1
sim4015521879_27,59821.145569,ztfr,644.916451,17.626516,17.976241,0.029675,1
sim4015521879_28,59823.818051,ztfg,735.326419,19.149011,17.833800,0.028274,1
sim4015521879_29,59823.964144,ztfr,608.484242,17.646875,18.039377,0.031488,1
sim4015521879_30,59826.819679,ztfr,607.345287,17.667849,18.041411,0.031584,1
sim4015521879_31,59826.822079,ztfg,713.051190,19.169343,17.867198,0.029188,1
sim4015521879_32,59829.746191,ztfg,745.699131,19.189363,17.818591,0.027940,1
sim4015521879_33,59830.302817,ztfr,618.987304,17.693906,18.020796,0.031036,1
sim4015521879_34,59832.717438,ztfg,742.674339,19.209935,17.823004,0.028084,1
