candid,mjd,band,flux,fluxerr,magpsf,sigmapsf,isdiffpos
sim4015521877_13,59796.802283,ztfg,658.155158,18.599444,17.954179,0.030683,1
sim4015521877_14,59797.143153,ztfr,615.931512,17.982455,18.026169,0.031699,1
sim4015521877_15,59799.970712,ztfg,714.610866,18.900690,17.864826,0.028717,1
sim4015521877_16,59800.180402,ztfr,706.696990,18.550735,17.876917,0.028500,1
sim4015521877_17,59802.886803,ztfr,677.124581,18.537766,17.923329,0.029724,1
sim4015521877_18,59802.990844,ztfg,695.063685,18.392718,17.894939,0.028731,1
sim4015521877_19,59805.887129,ztfg,607.566882,17.331448,18.041015,0.030972,1
sim4015521877_20,59806.216704,ztfr,612.369182,17.699650,18.032467,0.031382,1
sim4015521877_21,59808.830213,ztfg,501.051849,16.166826,18.250293,0.035032,1
sim4015521877_22,59809.241646,ztfr,533.154824,16.515861,18.182867,0.033634,1
sim4015521877_23,59811.798740,ztfr,500.790405,15.527722,18.250860,0.033665,1
sim4015521877_24,59811.974092,ztfg,425.265842,14.966293,18.428349,0.038210,1
sim4015521877_25,59814.909830,ztfg,316.359995,14.068084,18.749546,0.048281,1
sim4015521877_26,59814.965934,ztfr,376.292397,14.796749,18.561186,0.042694,1
sim4015521877_27,59818.102460,ztfg,233.356357,13.461587,19.079951,0.062633,1
sim4015521877_28,59818.202384,ztfr,357.746156,14.487814,18.616063,0.043970,1
sim4015521877_29,59821.169081,ztfg,196.539828,13.124420,19.266374,0.072503,1
sim4015521877_30,59821.310839,ztfr,347.327179,14.363270,18.648153,0.044899,1
sim4015521877_31,59826.753976,ztfr,308.031604,14.058782,18.778512,0.049554,1
sim4015521877_32,59827.261407,ztfg,114.472357,12.823016,19.853248,0.121622,1
sim4015521877_33,59829.706958,ztfg,85.910901,12.764047,20.164879,0.161311,1
sim4015521877_34,59830.238890,ztfr,289.579298,13.796699,18.845581,0.051729,1
sim4015521877_35,59832.785341,ztfg,70.132591,12.719628,20.385200,0.196915,1
sim4015521877_36,59833.038089,ztfr,240.767434,13.541632,19.046006,0.061066,1
sim4015521877_37,59835.915133,ztfr,216.005067,13.296530,19.163840,0.066834,1
sim4015521877_38,59836.219287,ztfg,78.839087,12.690048,20.258146,0.174762,1
sim4015521877_41,59842.277588,ztfr,169.407247,12.981296,19.427670,0.083198,1
