mjd,band,kind,magpsf,sigmapsf,isdiffpos,flux,fluxerr,diffmaglim
59770.007575,ztfr,nondetection,,,,,,20.500000
59772.796910,ztfr,nondetection,,,,,,20.500000
59775.884944,ztfg,nondetection,,,,,,20.500000
59776.038886,ztfr,nondetection,,,,,,20.500000
59778.853938,ztfg,nondetection,,,,,,20.500000
59778.976122,ztfr,nondetection,,,,,,20.500000
59781.943249,ztfr,nondetection,,,,,,20.500000
59782.203774,ztfg,nondetection,,,,,,20.500000
59784.972276,ztfr,detection,19.877277,0.124244,1.000000,111.966749,12.812665,
59784.976551,ztfg,detection,19.954569,0.133356,1.000000,104.273154,12.807421,
59787.994832,ztfg,detection,19.051767,0.061161,1.000000,239.493172,13.490947,
59791.158629,ztfr,detection,18.501594,0.040758,1.000000,397.523156,14.922902,
59793.861816,ztfg,detection,18.080712,0.031827,1.000000,585.754063,17.170747,
