candid,mjd,band,flux,fluxerr,magpsf,sigmapsf,isdiffpos
sim4015521878_10,59791.034518,ztfr,516.006552,16.368608,18.218362,0.034441,1
sim4015521878_11,59791.129158,ztfg,607.384007,17.535881,18.041342,0.031346,1
sim4015521878_12,59793.875494,ztfg,640.634902,17.802649,17.983474,0.030172,1
sim4015521878_13,59793.916213,ztfr,551.467677,17.161138,18.146200,0.033787,1
sim4015521878_14,59797.010483,ztfr,583.625612,17.588863,18.084664,0.032721,1
sim4015521878_15,59799.864045,ztfg,501.580935,16.303419,18.249147,0.035291,1
sim4015521878_16,59800.049517,ztfr,603.283456,17.290868,18.048696,0.031119,1
sim4015521878_17,59803.156578,ztfg,447.817678,15.552982,18.372247,0.037708,1
sim4015521878_18,59805.980391,ztfg,399.041488,15.012382,18.497455,0.040847,1
sim4015521878_19,59806.251902,ztfr,484.556479,16.131554,18.286639,0.036146,1
sim4015521878_20,59808.801488,ztfg,355.457255,14.562640,18.623032,0.044481,1
sim4015521878_21,59812.077282,ztfr,430.137234,15.231369,18.415982,0.038446,1
sim4015521878_22,59815.236673,ztfr,373.421084,14.833057,18.569503,0.043128,1
sim4015521878_23,59815.251887,ztfg,281.326785,13.812850,18.876972,0.053309,1
sim4015521878_24,59817.802447,ztfr,342.170108,14.551428,18.664395,0.046173,1
sim4015521878_25,59821.110449,ztfr,339.007241,14.237535,18.674478,0.045598,1
sim4015521878_26,59821.249291,ztfg,230.170490,13.370570,19.094876,0.063070,1
sim4015521878_27,59823.880593,ztfg,194.445897,13.231218,19.278003,0.073880,1
sim4015521878_28,59826.895290,ztfg,176.317068,13.102462,19.384264,0.080683,1
sim4015521878_29,59829.919319,ztfg,148.357330,13.000122,19.571727,0.095140,1
sim4015521878_30,59832.971567,ztfr,229.222433,13.465274,19.099357,0.063780,1
sim4015521878_31,59835.851765,ztfr,229.262617,13.340328,19.099167,0.063177,1
sim4015521878_32,59835.890167,ztfg,115.292700,12.856768,19.845495,0.121075,1
sim4015521878_33,59838.817155,ztfr,205.015924,13.230503,19.220531,0.070067,1
sim4015521878_34,59838.928574,ztfg,101.612744,12.805866,19.982630,0.136831,1
