mjd,band,kind,magpsf,sigmapsf,isdiffpos,flux,fluxerr,diffmaglim
59769.836910,ztfg,nondetection,,,,,,20.500000
59770.227291,ztfr,nondetection,,,,,,20.500000
59772.880112,ztfg,nondetection,,,,,,20.500000
59773.299237,ztfr,nondetection,,,,,,20.500000
59778.929927,ztfr,detection,20.470016,0.212798,1.000000,64.862514,12.712656,
59781.732799,ztfr,detection,19.640613,0.101115,1.000000,139.237095,12.967263,
59782.255876,ztfg,detection,19.181655,0.067696,1.000000,212.489673,13.248831,
59785.175860,ztfr,detection,18.832443,0.051362,1.000000,293.104608,13.865564,
59785.199295,ztfg,detection,18.595093,0.043292,1.000000,364.722689,14.542740,
59788.149264,ztfr,detection,18.461172,0.039901,1.000000,412.601861,15.163362,
